,row,column,value,cusip_row,cusip_column
1395,UAA,UA,0.9569707415860689,904311107,904311206
1407,UONE,UONEK,0.0615394767670496,91705J105 75040P108,75040P405 91705J204
1408,UONEK,UONE,0.0615394767670496,75040P405 91705J204,91705J105 75040P108
1411,USB,ASRV,-0.018718918484725632,902973304 33763V109 319279105 319279501 855083101,03074A102 917292104
1421,VC,VTR,0.0033950193105818575,92839U206,92276F100 922602107
1452,VTR,VC,0.0033950193105818575,92276F100 922602107,92839U206
1497,WSO,WSO.B,0.17947328969498055,942622200,942622101
1498,WSO.B,WSO,0.17947328969498055,942622101,942622200
1519,Z,ZG,0.9830424104749772,98954M200,98954M101 98954A107
1522,ZG,Z,0.9830424104749772,98954M101 98954A107,98954M200
