301. Exposures by Counterparty and Agreement Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Counterparty:,NEW YORK LIFE INVESTMENT MANAGEMENT LLC O/B/O MAINSTAY VP FUNDS TRUST - MAINSTAY VP IQ HEDGE MULTI-STRATEGY PORTFOLIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary GCI:,349571988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPER:,410167995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master ID:,1087661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD:,1087661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal:,Merrill Lynch International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management Center Description:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Date: ,01-Sep-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,



Contract ID ,Back Office Number,ProductID,Trade Date ,Effective Date,Maturity Date,Commodity Code,Strike,Contract Rate,Buy/Sell,Ccy1,Notional 1,Ccy2,Notional 2,Initial Margin CCY,Prin Initial Margin Amount,Cpty Initial Margin Amount,Independent Amount CCY,Prin Independent Amount,Cpty Independent Amount,Market Value Ccy,Market Value Amount,Collateral Agreement  Ccy,Market Value Amount in CA Ccy,Market Value Date,Put/Call,Unit,Major Deal,Commodity Type,Price Source,Booking Unit,Link Trade Count,Credit Approval,Underlying Description,Underlying ISIN,Underlying Sedol,Underlying Ric,Contracts

Agreement:,INDEXIQ ADVISO..PORT CSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


Equity - Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483325148,7709185480,Swap,30-Aug-2024,30-Aug-2024,27-Feb-2026,IIQ26U.X001,,0.0000,Buy,USD,"23,889,024.86",USD,"198,651.96",USD,0.00,0.00,USD,0.00,0.00,USD,"112,467.76",USD,"112,467.76",29-Aug-2025,,,,,,BT3,2,9999xxx99,  INDEXIQ_MA SWP BSK,,,,
,,,,,,,,,,,,,,Sub-Total for Product: USD,0.00,0.00,,0.00,0.00,,"112,467.76",,"112,467.76",,,,,,,,,,,,,,
,,,,,,,,,,,,,,Total for Agreement INDEXIQ ADVISO..PORT CSA in USD:,0.00,0.00,,0.00,0.00,,"112,467.76",,"112,467.76",,,,,,,,,,,,,,
"Sep 1, 2025",02:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
